Eigvals	30
0.18057617356761468	0.09122327887899272	0.08000644769484735	0.03679268258152585	0.02630151244383741	0.01585718315930664	0.011553265009900756	0.007892214424733866	0.006975728880601722	0.005315570500130925	0.003911794936017366	0.0023528390263453207	0.0023332259773406385	0.0018359257004185742	0.0012891173778869433	0.0010010228180391285	0.0007868953802515361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Proportion explained	30
0.3793578212698142	0.19164357977529864	0.16807904988467393	0.07729475947486078	0.055254711957106774	0.03331306858453562	0.02427131639860356	0.01658011248111967	0.014654742414968239	0.011167050469040467	0.00821797236514254	0.004942888473039551	0.0049016850108558295	0.0038569472370797676	0.0027082020300598095	0.0021029675609473583	0.0016531246128533633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Species	0	0

Site	30	30
SS004	0.0520739109061166	0.012889543678853522	-0.039863978708097145	0.0032281159754366617	-0.02136403250199934	-0.011602942713681102	-0.03880548993691601	-0.006211219873125793	0.012247363688888757	0.003222339326837064	-0.015958939810971493	0.001124833168777668	0.01190428955123918	-0.016844116675287076	-0.00517724596041957	0.005405412702073991	0.00030947478244685054	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS007	-0.12223046723242507	-0.036790629951392394	0.006508334160046956	0.0010723514147248643	0.03542442104033614	-0.02123867319541136	-0.005219844510184183	-0.018758908062769277	0.008965512524682369	-0.004731138816444964	0.007009544870186695	-0.0006935592539326494	-0.0023813025946648396	-0.0027683867622609873	0.01127983699740635	0.003926047367153981	0.00694932819529585	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS011	0.06873502850465131	0.062492117084115006	-0.03196274035909023	0.00489668283899304	-0.016738686345194913	-0.023241116540683043	0.01840742931004051	-0.03503008496300615	0.0025424856970270695	0.01796317225702718	0.006210517434001323	0.009091015682514738	0.004790921172653752	0.003843883755955165	-0.004236970732973051	0.00810043986701193	0.001482010994135267	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS016	0.07771881430477849	-0.025909540844553526	-0.011163188747206359	0.04563905330058169	-0.0037400558441606432	0.010353169738369345	-0.0179632483118824	0.005035925342903271	0.011213062164376699	-0.005226450163756588	0.004080659763625302	0.02211830074305414	-0.006706554154125072	0.014582389762619599	0.002621756798529942	-0.003692975024542148	0.0071122547722816285	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS019	-0.08433096087746753	-0.09940329619480096	-0.01602650159779756	-0.04090248917660785	-0.023336217586748736	-0.003949692220828496	0.03200771443511656	0.02642822387975681	-0.004838252612789491	0.010987572939899456	-0.017346325393132057	0.011014785082930072	-0.0033936188188749988	0.0011084867962443113	0.001313447874408693	-0.00119071437705775	-0.0026476079879836603	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS023	0.06464338677129647	-0.07664774869342139	-0.01575970613355749	0.08217608022522326	-0.01284182050231168	0.018367775074776507	0.03545229772923121	0.009179108639580267	-0.011182633010994678	0.02536933929104748	0.007533644254922668	0.0016051960624761219	0.005405383323676284	-0.007084292281459037	-0.0023086050935465607	0.006966144112810435	0.0002102852141131412	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS028	-0.07742011667836617	0.0732751071065419	-0.00365895612326129	0.00808909989504816	-0.024336443110067083	0.00680852999104597	0.028182167458635696	-0.026091907003788724	0.017252695714977066	-0.01373975851105974	-0.002164418579259504	-0.002809818961693867	0.004877423676517299	0.0019073314769170457	-0.00012303457461224868	-0.011347474869108084	0.006148051544895668	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS031	-0.0030638725279869996	-0.12574181268002232	-0.04765801358461186	-0.054274077326538	-0.0531667438738911	-0.008374500395215062	-2.736896624662798e-05	-0.011882746391989217	0.029445525939542364	0.005224260786487313	0.009264590461683058	-0.007853042215032467	-0.0030760422630780643	-0.0035915275111186038	-0.0008257171066257231	-0.002539981160030174	0.0025483107097513513	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS040	-0.07850592370733167	0.03331750390896884	-0.009515682812575825	-0.0053882307389171965	-0.041204056453449156	0.02629971695317237	0.005282463887080989	0.0038105597935077147	-0.003641586628989425	0.011247712390751799	-0.007545164732419746	-0.003855516132091491	-0.015977962780429567	-0.0006032528007117673	-0.0015179102753223761	-0.007296054135932908	0.0019306617058040183	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SS043	0.11360145530280798	-0.021132678272995663	0.06953661537649325	0.005568248281716677	0.07436794250633168	0.042244665745580307	0.019563616183224025	0.0038817636092418773	0.04168395900221433	0.010402889980868697	-0.006275832064972756	-0.007418831998979262	0.004066899337930744	-0.0024975158275082126	0.0006190177027369478	-0.006623947218686133	-0.003341864621992258	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
