taxon	mean_sterile	mean_muck	U	p_value	q_value	log2FC_muck_over_sterile	short
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter	0.0004554943487377154	0.000053853102633590436	17.5	0.20833333333333334	0.5694444444444445	-2.761215783785673	Leucobacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	0.000022963282557591362	0	17.5	0.2222222222222222	0.6023875114784205	-1.3035418190178902	Ruminococcaceae (family)
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerotignum	0.0007160967555242863	0.0007278746238128101	17	0.23349867724867726	0.6277669355538208	0.023036423652310675	Anaerotignum
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia	0.0012037647698500869	0.0001598700738447484	21	0.26666666666666666	0.6307692307692307	-2.7965588898658345	Elizabethkingia
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	0.0000764378481107038	0.000012824451236717968	18.5	0.27827380952380953	0.6307692307692307	-1.693730354414537	Phenylobacterium
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0.0013162643358486138	0.0032384453302982236	30.5	0.2835695389266818	0.6307692307692307	1.2887623038036284	Peptococcus
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix	0.00027981235517530556	0.00042290577769943193	30	0.289021164021164	0.6307692307692307	0.5698036546178014	Herbinix
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	0.0004996538059356225	0.0007189474774681446	19	0.29464285714285715	0.6307692307692307	0.5115399474976271	Proteus
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidiferrimicrobium	0	0.000006215684243240444	26	0.3333333333333333	0.6307692307692307	0.48279614644714663	Acidiferrimicrobium
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes	0	0.0000041437894954936285	26	0.3333333333333333	0.6307692307692307	0.33909898672123123	Actinoplanes
d__Bacteria;p__Bacillota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000005075240439515822	26	0.3333333333333333	0.6307692307692307	0.4054762718982026	Bacillota (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Candidatus_Alysiosphaera	0	0.000006215684243240444	26	0.3333333333333333	0.6307692307692307	0.48279614644714663	Candidatus Alysiosphaera
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Corynebacteriaceae;g__Corynebacterium	0	0.000007612860659273733	26	0.3333333333333333	0.6307692307692307	0.5722000642936824	Corynebacterium
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__Defluviicoccus	0	0.0000041437894954936285	26	0.3333333333333333	0.6307692307692307	0.33909898672123123	Defluviicoccus
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0	0.0005075240439515823	26	0.3333333333333333	0.6307692307692307	5.064046867908457	Escherichia-Shigella
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0020805141936397174	0.009441624365482234	26	0.3333333333333333	0.6307692307692307	2.173678654201116	Fusobacterium
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	0	0.000005075240439515822	26	0.3333333333333333	0.6307692307692307	0.4054762718982026	Gaiella
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Hypericibacter	0	0.0000041437894954936285	26	0.3333333333333333	0.6307692307692307	0.33909898672123123	Hypericibacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000008287578990987257	26	0.3333333333333333	0.6307692307692307	0.6134681573056174	Hyphomicrobiales (Incertae Sedis)
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Nocardiaceae;g__Nocardia	0	0.000008287578990987257	26	0.3333333333333333	0.6307692307692307	0.6134681573056174	Nocardia
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage	0	0.000007612860659273733	26	0.3333333333333333	0.6307692307692307	0.5722000642936824	Pir4 lineage
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PLTA13;f__Incertae_Sedis;g__Incertae_Sedis	0	0.0000041437894954936285	26	0.3333333333333333	0.6307692307692307	0.33909898672123123	PLTA13 (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Rickettsiellales;f__Rickettsiellaceae;g__Incertae_Sedis	0	0.000007612860659273733	26	0.3333333333333333	0.6307692307692307	0.5722000642936824	Rickettsiellaceae (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Rossellomorea	0	0.000022790842225214958	26	0.3333333333333333	0.6307692307692307	1.297082703656214	Rossellomorea
d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202_clade;f__Incertae_Sedis;g__Incertae_Sedis	0	0.0000041437894954936285	26	0.3333333333333333	0.6307692307692307	0.33909898672123123	SAR202 clade (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Tumebacillus	0	0.000005075240439515822	26	0.3333333333333333	0.6307692307692307	0.4054762718982026	Tumebacillus
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Incertae_Sedis	0	0.0000041437894954936285	26	0.3333333333333333	0.6307692307692307	0.33909898672123123	Vermiphilaceae (Incertae Sedis)
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Virgisporangium	0	0.000015225721318547466	26	0.3333333333333333	0.6307692307692307	0.9808137567723222	Virgisporangium
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	0.00007994275407615455	0.000026329410649138224	19	0.3476190476190476	0.6307692307692307	-1.1874327945970005	NK4A214 group
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	0.00047042555972508725	0.00027593636858646144	18.5	0.3541430461073318	0.6307692307692307	-0.737279238640193	Oscillospiraceae (family)
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0.00014097253963951285	0.00005587085011909313	19	0.3576388888888889	0.6307692307692307	-1.1309774190328463	Dorea
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0.00000241999496641047	0.00001909258971451423	28	0.36666666666666664	0.6307692307692307	0.9435335864480682	Desulfovibrio
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;__	0	0.0000034743937182961575	26.5	0.375	0.6307692307692307	0.2894368963230554	Acetobacteraceae (family)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alishewanella	0	0.000006267103971254882	26.5	0.375	0.6307692307692307	0.4861865453161182	Alishewanella
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus	0	0.000012160378014036552	26.5	0.375	0.6307692307692307	0.8299072270086078	Anaerorhabdus
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__	0.000032459545156352504	0.00007021354209233325	27.5	0.375	0.6307692307692307	0.8358685399355659	Anaerovoracaceae (family)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Tindalliaceae;g__Anoxynatronum	0	0.000024320756028073103	26.5	0.375	0.6307692307692307	1.3534035280177477	Anoxynatronum
d__Bacteria;p__Armatimonadota;__;__;__;__	0	0.000005211590577444236	26.5	0.375	0.6307692307692307	0.41494163221124597	Armatimonadota (phylum)
d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000005211590577444236	26.5	0.375	0.6307692307692307	0.41494163221124597	Bathyarchaeia (Incertae Sedis)
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Candidatus_Protochlamydia	0	0.000008685984295740392	26.5	0.375	0.6307692307692307	0.6372929657113886	Candidatus Protochlamydia
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Ciceribacter	0	0.000012160378014036552	26.5	0.375	0.6307692307692307	0.8299072270086078	Ciceribacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;__;__	0	0.000012160378014036552	26.5	0.375	0.6307692307692307	0.8299072270086078	Clostridiales (order)
d__Bacteria;p__Armatimonadota;c__DG-56;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000012534207942509764	26.5	0.375	0.6307692307692307	0.8491785175339058	DG-56 (Incertae Sedis)
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter	0	0.000012160378014036552	26.5	0.375	0.6307692307692307	0.8299072270086078	Empedobacter
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;__;__	0	0.000015709993519627674	26.5	0.375	0.6307692307692307	1.0032741683960704	Enterobacterales (order)
d__Bacteria;p__Bacillota;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium	0	0.00002779514974636926	26.5	0.375	0.6307692307692307	1.4736857559178556	Exiguobacterium
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;__;__;__	0	0.000008356138628339843	26.5	0.375	0.6307692307692307	0.6175961817877234	Gammaproteobacteria (class)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Gottschalkiaceae;g__Gottschalkia	0.000010269124254838878	0.000029532346605517336	26.5	0.375	0.6307692307692307	0.8020050541136999	Gottschalkia
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria	0.00007685404777681613	0.000008356138628339843	26.5	0.375	0.6307692307692307	-1.946605968950763	Kocuria
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000006267103971254882	26.5	0.375	0.6307692307692307	0.4861865453161182	Marine Group II (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Metabacillus	0	0.000012534207942509764	26.5	0.375	0.6307692307692307	0.8491785175339058	Metabacillus
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	0	0.000010445173285424805	26.5	0.375	0.6307692307692307	0.7380290875876404	Methanosarcina
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Methylocystis	0	0.000019109165450628868	26.5	0.375	0.6307692307692307	1.1517921774868196	Methylocystis
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__Incertae_Sedis	0	0.0000034743937182961575	26.5	0.375	0.6307692307692307	0.2894368963230554	Microtrichaceae (Incertae Sedis)
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides	0	0.000006948787436592315	26.5	0.375	0.6307692307692307	0.53039672555704	Myroides
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Neobacillus	0	0.000012534207942509764	26.5	0.375	0.6307692307692307	0.8491785175339058	Neobacillus
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Neochlamydia	0	0.000015634771732332708	26.5	0.375	0.6307692307692307	0.9998082594940155	Neochlamydia
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Polyangiaceae;g__Pajaroellobacter	0	0.000004178069314169922	26.5	0.375	0.6307692307692307	0.3415967489373129	Pajaroellobacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;__;__	0	0.0001476617330275867	26.5	0.375	0.6307692307692307	3.3843170668575637	Peptostreptococcales-Tissierellales (order)
d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter	0	0.000010445173285424805	26.5	0.375	0.6307692307692307	0.7380290875876404	Peredibacter
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Incertae_Sedis	0	0.000015709993519627674	26.5	0.375	0.6307692307692307	1.0032741683960704	Prolixibacteraceae (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Proteiniclasticum	0	0.00019630324508373287	26.5	0.375	0.6307692307692307	3.7604571245682403	Proteiniclasticum
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	0	0.00001389757487318463	26.5	0.375	0.6307692307692307	0.9173573788607795	Pseudarthrobacter
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	0.0000387405488227475	0.00004171471675009022	27.5	0.375	0.6307692307692307	0.07682289851866375	Psychrobacter
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;__	0	0.000005891247569860378	26.5	0.375	0.6307692307692307	0.46121844976437537	Rhodocyclaceae (family)
d__Bacteria;p__Incertae_Sedis;c__Incertae_Sedis;o__SJA-28;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000006267103971254882	26.5	0.375	0.6307692307692307	0.4861865453161182	SJA-28 (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Sporacetigenium	0	0.000015634771732332708	26.5	0.375	0.6307692307692307	0.9998082594940155	Sporacetigenium
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae;g__Sporomusa	0	0.000005211590577444236	26.5	0.375	0.6307692307692307	0.41494163221124597	Sporomusa
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group	0	0.000008356138628339843	26.5	0.375	0.6307692307692307	0.6175961817877234	Sva0081 sediment group
d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus	0	0.000005211590577444236	26.5	0.375	0.6307692307692307	0.41494163221124597	Syntrophorhabdus
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Thermomonas	0	0.000029532346605517336	26.5	0.375	0.6307692307692307	1.5302639739868755	Thermomonas
d__Bacteria;p__Myxococcota;c__Polyangiia;o__VHS-B3-70;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000006267103971254882	26.5	0.375	0.6307692307692307	0.4861865453161182	VHS-B3-70 (Incertae Sedis)
d__Bacteria;p__Actinomycetota;c__WCHB1-81;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000010445173285424805	26.5	0.375	0.6307692307692307	0.7380290875876404	WCHB1-81 (Incertae Sedis)
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;__	0	0.000024320756028073103	26.5	0.375	0.6307692307692307	1.3534035280177477	Weeksellaceae (family)
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000006267103971254882	26.5	0.375	0.6307692307692307	0.4861865453161182	Woesearchaeales (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Youngiibacter	0	0.000012160378014036552	26.5	0.375	0.6307692307692307	0.8299072270086078	Youngiibacter
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group	0.0487830794036437	0.03910114188722756	18	0.3854119425547997	0.6449750875406852	-0.3190556107525076	[Clostridium] innocuum group
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0.0002553987947361589	0.00003107842121620221	20.5	0.4	0.6659898477157361	-2.536463325675681	Lachnospiraceae NK4A136 group
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0.000018942903571146286	0.0001530281110593072	28	0.41220238095238093	0.6828403078403078	2.286091869374609	Enterobacteriaceae (family)
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Aquihabitans	0	0.000015665733370454056	29	0.4444444444444444	0.6992139439507862	1.0012358521644737	Aquihabitans
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Cryobacterium	0	0.00002799471055327479	29	0.4444444444444444	0.6992139439507862	1.480299134563579	Cryobacterium
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Ensifer	0	0.00006300534475603982	29	0.4444444444444444	0.6992139439507862	2.330200050810933	Ensifer
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia	0	0.00003274820964075985	29	0.4444444444444444	0.6992139439507862	1.6294819485472474	Lautropia
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000015856696754244624	29	0.4444444444444444	0.6992139439507862	1.0100097858276158	Microtrichales (Incertae Sedis)
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum	0	0.000011272262623487186	29	0.4444444444444444	0.6992139439507862	0.7830645810828754	Paludibaculum
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000010929851349263595	29	0.4444444444444444	0.6992139439507862	0.7645903078141975	Planctomycetales (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Incertae_Sedis	0.000011933393611962342	0	19	0.4444444444444444	0.6992139439507862	-0.8180791080025552	Rickettsiaceae (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0.00004090441804145854	0.000005075240439515822	21	0.4444444444444444	0.6992139439507862	-1.4487393357103517	Turicibacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Incertae_Sedis	0.000011519834274963568	0	19	0.4444444444444444	0.6992139439507862	-0.796276091919277	Xanthobacteraceae (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.040121063138908106	0.0010000088493139232	19	0.4455357142857143	0.6992139439507862	-5.304450005374225	Acinetobacter
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Incertae_Sedis	0.000012698186611703181	0.00008072226855673289	28	0.45866402116402116	0.7152647975077882	1.7657594278430475	Nitrososphaeraceae (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Pseudoxanthobacter	0.00038256070365294233	0	21	0.4642857142857143	0.7152647975077882	-4.670278320364876	Pseudoxanthobacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0.0004240803528781341	0	22	0.4666666666666667	0.7152647975077882	-4.813369227149612	Brevundimonas
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Incertae_Sedis	0.00004623333963736095	0	22	0.4666666666666667	0.7152647975077882	-1.984151257371223	Lachnospiraceae (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	0.00008276929779653792	0	22	0.4666666666666667	0.7152647975077882	-2.653637256926313	Serratia
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Shinella	0.00009571397752986788	0.00015418856044459553	20	0.4915674603174603	0.7454545454545455	0.6089307891166758	Shinella
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Bordetella	0.000005296723010620384	0	20.5	0.5	0.7454545454545455	-0.42082014693666153	Bordetella
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Fibrella	0.000025861884900697533	0	20	0.5	0.7454545454545455	-1.4079979477025435	Fibrella
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.000158791643565595	0.000019109165450628868	21.5	0.5	0.7454545454545455	-2.3276471744632787	Sphingomonas
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Spirosoma	0.000005867227189083041	0	20	0.5	0.7454545454545455	-0.4596079924350579	Spirosoma
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Thomasclavelia	0.0030156986635852387	0	20	0.5	0.7454545454545455	-7.5986690573865445	Thomasclavelia
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter	0.0003162305320578702	0.0115757471446758	26.5	0.5166666666666667	0.7668174962292611	5.126293405973073	Enterobacter
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus	0.0015536778050379866	0.0013083843549601148	20.5	0.5358796296296297	0.7917500834167501	-0.24520806660613528	Vagococcus
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0.0011304154269893504	0.0037161223943587367	26.5	0.5535714285714286	0.8105867346938777	1.7031812464844671	Akkermansia
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Paeniclostridium	0.0011212230366073363	0.0005981059309109539	26.5	0.5535714285714286	0.8105867346938777	-0.889346155680307	Paeniclostridium
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Fonticella	0.0002119461851165336	0.00015136090513884724	26	0.6428571428571429	0.9371428571428572	-0.44655952844697977	Fonticella
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__Incertae_Sedis	0.0000019548660525780773	0.00003323601551063976	26	0.6666666666666666	0.967551622418879	1.47402838336896	67-14 (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Incertae_Sedis	0.00018998828480433613	0.00010418636998336806	21.5	0.6874291383219955	0.9932896800423547	-0.7790986743324216	Anaerovoracaceae (Incertae Sedis)
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	0.000019163703002538618	0.00001389757487318463	22.5	0.7142857142857143	1	-0.2366973507842161	Deinococcus
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__	0.000008920160991065567	0.00002160124108948805	25.5	0.7321428571428571	1	0.6006025695305584	Peptostreptococcaceae (family)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter	0.0000071361287928524535	0.00004169272461955389	25.5	0.7321428571428571	1	1.3318771985351445	Polynucleobacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter	0.000004708984742889433	0.000012431368486480888	25.5	0.7333333333333333	1	0.46416348120593726	Xanthobacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter	0.005231257495397561	0.0025325078324296224	26	0.774385865457294	1	-1.0420159385898875	Terrisporobacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.16083333168459682	0.14739954041632158	22	0.813860544217687	1	-0.12582161676172376	Clostridium
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Anaerovorax	0.0009283566083907743	0.0015978282920730963	22.5	0.8216647770219199	1	0.773312324368517	Anaerovorax
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella	0.00007905249592229366	0.000019719652190371403	26	0.8263888888888888	1	-1.4211734128136995	Reyranella
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	0.000010976515058413095	0.000023785045131366933	25	0.8611111111111112	1	0.5668095879708492	Enhydrobacter
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Edwardsiella	0.025319430492373063	0.012431451134849463	24.5	0.9285714285714286	1	-1.0253272800307671	Edwardsiella
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus	0.000022364072070132222	0.00002185970269852719	24.5	0.9627976190476191	1	-0.019275398423545285	Rhodococcus
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Clostridium]_methylpentosum_group	0.000010223833801357724	0	22.5	1	1	-0.7257347050453783	[Clostridium] methylpentosum group
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__A0839;g__Incertae_Sedis	0	0.00000766166104811523	26.5	1	1	0.5752247907183841	A0839 (Incertae Sedis)
d__Bacteria;p__Actinomycetota;c__Actinobacteria;__;__;__	0	0.000025086548592644622	26.5	1	1	1.3807899344188341	Actinobacteria (class)
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.000005536068594104308	0	24	1	1	-0.4372201035973506	Actinomyces
