taxon	mean_sterile	mean_muck	U	p_value	q_value	log2FC_muck_over_sterile	short
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae_Sedis;g__Incertae_Sedis	0	0.00004059203991059739	33	0.0125	0.1382161753590325	1.8462232286045832	Gaiellales (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Incertae_Sedis	0.002426298395415011	0.00047329855316784674	9	0.012575585789871504	0.1382161753590325	-2.3203042611209357	Oscillospiraceae (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena	0.0014249710629231846	0.00015258492753989617	10.5	0.01264172335600907	0.1382161753590325	-3.098225600282034	Faecalicatena
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	0.019782575851962518	0.004187084456779582	9.5	0.014871504157218444	0.15735010850218226	-2.235973937853082	Achromobacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	0.0005486794684601384	0.00000766166104811523	11.5	0.017431972789115645	0.1722689075630252	-4.598071024066864	Sphingomonadaceae (family)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group	0	0.000144289155141242	33.5	0.017857142857142856	0.1722689075630252	3.3542097323505926	[Eubacterium] brachy group
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Pedomicrobium	0	0.000026709894184920205	33.5	0.017857142857142856	0.1722689075630252	1.4371801973144211	Pedomicrobium
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Stenotrophomonas	0.00023150229822773165	0	11.5	0.01974206349206349	0.18501133786848073	-3.982122124977601	Stenotrophomonas
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Methylorubrum	0.00018862824285772044	0	12.5	0.022552910052910054	0.19523809523809524	-3.707243792829464	Methylorubrum
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus	0	0.00004984550263208129	34	0.023809523809523808	0.19523809523809524	2.066010283579775	Fimbriiglobus
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__PeM15;f__Incertae_Sedis;g__Incertae_Sedis	0	0.00010569208335834755	34	0.023809523809523808	0.19523809523809524	2.9557347776790883	PeM15 (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Plesiomonas	0.0009196874341289589	0.0004815522024266373	34	0.023809523809523808	0.19523809523809524	-0.9116692899929755	Plesiomonas
d__Bacteria;p__Bacillota;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Incertae_Sedis;g__TC1	0	0.00020492580581771302	34	0.023809523809523808	0.19523809523809524	3.8179885713604116	TC1
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0	0.00006754023521224337	30.5	0.025	0.19523809523809527	2.411080516179805	Mycobacterium
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000013397099249179375	30.5	0.025	0.19523809523809527	0.8927024335667422	Saccharimonadales (Incertae Sedis)
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__Chthoniobacteraceae;g__LD29	0	0.00003635643054678102	33.5	0.027777777777777776	0.20911324125609843	1.7332411935030383	LD29
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0004096516195318192	0.00330499430375955	37.5	0.028051776266061982	0.20911324125609843	2.964937687633701	Pseudomonas
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;__;__	0	0.0001243662170646881	34	0.03125	0.22282608695652173	3.162266282559474	Burkholderiales (order)
d__Bacteria;p__Chloroflexota;c__KD4-96;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0.00006267700438042565	34	0.03125	0.22282608695652173	2.32416418051344	KD4-96 (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Microvirga	0	0.00006043822043841402	30.5	0.03333333333333333	0.2326241134751773	2.2823215168064213	Microvirga
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster	0.012859778935892737	0.009376987052647634	12	0.035284391534391536	0.239067055393586	-0.4550187882605846	Enterocloster
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	0	0.0001992216860203881	31	0.03571428571428571	0.239067055393586	3.7801874825204935	Gordonibacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum	0.0021751158903673983	0.0014379060284287043	12	0.03762755102040816	0.24683673469387757	-0.5918523388108861	Anaerofilum
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.19610326202425385	0.09173955471940995	11	0.04275321239606954	0.26967410895982324	-1.0958668552210322	Bacteroides
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter	0.040574100762555035	0.017679043432273167	11	0.04275321239606954	0.26967410895982324	-1.197799223803635	Citrobacter
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces	0.00030789801530772945	0.000012431368486480888	16	0.04583333333333333	0.2836477987421383	-3.526814229892493	Agromyces
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__BD1-7_clade	0	0.000059733538806457735	34	0.047619047619047616	0.28398268398268395	2.268895955767534	BD1-7 clade
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae;g__Candidatus_Paracaedibacter	0	0.00006796482116340186	34	0.047619047619047616	0.28398268398268395	2.4184259853003933	Candidatus Paracaedibacter
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia	0.03337214531695166	0.008883149221530948	12	0.04965986394557823	0.29086491739552967	-1.9076395669936381	Providencia
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	0.004391411474421799	0	17	0.05238095238095238	0.30142021720969087	-8.138527923825846	Sphingobacterium
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZB30;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000028452569361741908	31.5	0.05357142857142857	0.3029556650246305	1.4953588233787816	SZB30 (Incertae Sedis)
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__Incertae_Sedis;g__Incertae_Sedis	0	0.000023721768993420566	31	0.0625	0.33131313131313134	1.3316141207840817	0319-6G20 (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Acidibacter	0	0.000023979025781545822	28	0.06666666666666667	0.33131313131313134	1.3410127214814245	Acidibacter
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	0	0.00022652291789016757	28	0.06666666666666667	0.33131313131313134	3.9527580121570542	Colidextribacter
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__	0	0.0009165476763410181	28	0.06666666666666667	0.33131313131313134	5.897405214256023	Eggerthellaceae (family)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Incertae_Sedis	0.000025409947147309933	0.00022700667721145618	28	0.06666666666666667	0.33131313131313134	2.5634361241915355	Peptococcaceae (Incertae Sedis)
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter	0.000005536068594104308	0.0000672798226245265	28	0.06666666666666667	0.33131313131313134	1.969336620005734	Sedimentibacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Skermanella	0	0.000011756650154767362	28	0.06666666666666667	0.33131313131313134	0.8088014101047183	Skermanella
