#OTU ID	Blank1	Blank2	Blank3	Blank4	SS004	SS007	SS011	SS016	SS019	SS023	SS028	SS031	SS035	SS040	SS043	SS047	SS051	SS052	SS054	SS055	SS059	SS063	SS064	SS066	SS070	SS071	SS075	SS076	SS078	SS082	SS083	SS087	SS088	SS090	SS094	SS095
4e23097110bafb552c2e640cda3d5234	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	447	39	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	12
7e18a39dd964eb207545655ebe71a459	0	0	0	0	0	0	63	0	0	32	0	0	0	0	0	19	0	0	0	0	158	0	0	0	0	280	0	0	0	0	550	0	0	0	84	0
65ee2e5023f239f2ba8a4ae6853aa923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	0
52a9074710d756ef7698a692b34ab05e	0	0	0	0	81	3	0	62	40	0	80	15	0	182	34	0	0	80	0	0	0	0	148	75	103	0	73	0	0	0	0	0	0	65	0	0
a63c438fdf54dab3760eef280c5b4fc3	0	0	0	0	0	97	0	0	0	0	0	0	0	7	0	0	0	6	0	0	0	0	0	0	41	0	0	0	0	743	0	0	0	147	0	0
04edaa963304c466674c30f9f9bb087e	0	0	0	0	0	232	0	0	15	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	227	0	0	0	0	64	0	0
873da44c0f433500a4c9392b8538a2b0	0	0	0	0	0	28	0	0	42	0	0	0	0	0	0	49	0	0	607	50	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0
e6c4a7258a21cb1ee250bdb71efc5c98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
8f21cec07387bfcd404577d2df0e5aae	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	234	0	0	0	0	340	0	0	0	0	123	18	0	0	0	47
c939ee112ba982665e012437dae05c1e	0	0	0	0	0	0	534	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
cf49f6820a631a6ceffa00b8b78b640e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	0	0	0	0	344	0	0
3a4a246cdaf2ee7e109536faef354a46	0	0	0	0	67	0	8	164	0	0	75	0	0	0	0	96	0	0	0	0	0	200	0	0	0	0	157	0	0	0	0	124	0	0	0	5
adbdab4b1e65c4710195da896639d9aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	125	0	0	0	9	307	0	0	0	235	106	0	0	0	35	0
bf593a9048501af7d80b58298c6c7b7f	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	22	0	0	0	70	0	573
7b46269976203c4b677141e236344faf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	117	0	0	0	0	0	0	0	0	624	0	0	0	0	42	0	0
930c5542b16b2b356d24c39e1fd5a891	0	0	0	0	0	686	0	0	53	0	0	0	0	0	3	0	0	0	0	28	0	0	0	0	0	0	0	0	67	11	0	0	0	0	0	0
2ae066df2a3e6e4160e85ff1dc63d947	0	0	0	0	97	0	157	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208
ff9d93d7b7e46787568f2d241caeaf3b	0	0	0	0	0	0	593	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
e1064d4cfe9ee2a54c7e080e7812bef5	0	0	0	0	33	0	0	200	0	0	176	0	0	9	0	10	0	25	0	0	92	17	0	0	0	109	55	18	0	0	23	9	0	0	0	0
8612a638846acf832935cb932a1f0398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	0
