	SubjectID1	SubjectID2	Group1	Group2	Distance
135	SS028	SS087	Muck	Sterile	0.7792
136	SS028	SS094	Muck	Sterile	0.8436
137	SS040	SS004	Muck	Sterile	0.75
138	SS040	SS016	Muck	Sterile	0.719
139	SS040	SS023	Muck	Sterile	0.8026
140	SS040	SS031	Muck	Sterile	0.714
141	SS040	SS043	Muck	Sterile	0.8544
142	SS040	SS047	Muck	Sterile	0.804
143	SS040	SS054	Muck	Sterile	0.6258
144	SS040	SS059	Muck	Sterile	0.8328
145	SS040	SS063	Muck	Sterile	0.8316
146	SS040	SS066	Muck	Sterile	0.7674
147	SS040	SS070	Muck	Sterile	0.5458
148	SS040	SS071	Muck	Sterile	0.8652
149	SS040	SS075	Muck	Sterile	0.7384
150	SS040	SS078	Muck	Sterile	0.6824
151	SS040	SS082	Muck	Sterile	0.5822
152	SS040	SS083	Muck	Sterile	0.8386
153	SS040	SS087	Muck	Sterile	0.7716
154	SS040	SS094	Muck	Sterile	0.843
155	SS052	SS004	Muck	Sterile	0.7758
156	SS052	SS016	Muck	Sterile	0.6946
157	SS052	SS023	Muck	Sterile	0.8002
158	SS052	SS031	Muck	Sterile	0.7624
159	SS052	SS043	Muck	Sterile	0.8332
160	SS052	SS047	Muck	Sterile	0.8164
161	SS052	SS054	Muck	Sterile	0.5164
162	SS052	SS059	Muck	Sterile	0.8486
163	SS052	SS063	Muck	Sterile	0.8034
164	SS052	SS066	Muck	Sterile	0.7736
165	SS052	SS070	Muck	Sterile	0.57
166	SS052	SS071	Muck	Sterile	0.876
167	SS052	SS075	Muck	Sterile	0.7586
168	SS052	SS078	Muck	Sterile	0.6192
169	SS052	SS082	Muck	Sterile	0.5508
170	SS052	SS083	Muck	Sterile	0.8512
171	SS052	SS087	Muck	Sterile	0.7498
172	SS052	SS094	Muck	Sterile	0.8312
173	SS064	SS004	Muck	Sterile	0.795
174	SS064	SS016	Muck	Sterile	0.7358
175	SS064	SS023	Muck	Sterile	0.8172
176	SS064	SS031	Muck	Sterile	0.7588
177	SS064	SS043	Muck	Sterile	0.8664
178	SS064	SS047	Muck	Sterile	0.8306
179	SS064	SS054	Muck	Sterile	0.5352
180	SS064	SS059	Muck	Sterile	0.878
181	SS064	SS063	Muck	Sterile	0.8516
182	SS064	SS066	Muck	Sterile	0.7996
183	SS064	SS070	Muck	Sterile	0.5394
184	SS064	SS071	Muck	Sterile	0.8918
185	SS064	SS075	Muck	Sterile	0.7658
186	SS064	SS078	Muck	Sterile	0.5976
187	SS064	SS082	Muck	Sterile	0.5598
188	SS064	SS083	Muck	Sterile	0.8762
189	SS064	SS087	Muck	Sterile	0.785
190	SS064	SS094	Muck	Sterile	0.8314
191	SS076	SS004	Muck	Sterile	0.7026
192	SS076	SS016	Muck	Sterile	0.6544
193	SS076	SS023	Muck	Sterile	0.7568
194	SS076	SS031	Muck	Sterile	0.6582
195	SS076	SS043	Muck	Sterile	0.8054
196	SS076	SS047	Muck	Sterile	0.774
197	SS076	SS054	Muck	Sterile	0.588
198	SS076	SS059	Muck	Sterile	0.785
199	SS076	SS063	Muck	Sterile	0.7756
