	SubjectID1	SubjectID2	Group1	Group2	Distance
115	SS019	SS082	Muck	Sterile	0.1614551842212677
116	SS019	SS083	Muck	Sterile	0.2368185520172119
117	SS019	SS087	Muck	Sterile	0.2178678214550018
118	SS019	SS094	Muck	Sterile	0.3071630895137787
119	SS028	SS004	Muck	Sterile	0.1642215251922607
120	SS028	SS016	Muck	Sterile	0.1964881122112274
121	SS028	SS023	Muck	Sterile	0.2278813421726227
122	SS028	SS031	Muck	Sterile	0.2265531420707703
123	SS028	SS043	Muck	Sterile	0.2491178959608078
124	SS028	SS047	Muck	Sterile	0.1592331230640411
125	SS028	SS054	Muck	Sterile	0.1314578652381897
126	SS028	SS059	Muck	Sterile	0.1736258566379547
127	SS028	SS063	Muck	Sterile	0.17049241065979
128	SS028	SS066	Muck	Sterile	0.2198774218559265
129	SS028	SS070	Muck	Sterile	0.05786355584859848
130	SS028	SS071	Muck	Sterile	0.1863863915205002
131	SS028	SS075	Muck	Sterile	0.202838346362114
132	SS028	SS078	Muck	Sterile	0.1643857359886169
133	SS028	SS082	Muck	Sterile	0.09611526131629944
134	SS028	SS083	Muck	Sterile	0.1811909079551697
135	SS028	SS087	Muck	Sterile	0.1781861484050751
136	SS028	SS094	Muck	Sterile	0.2871240377426147
137	SS040	SS004	Muck	Sterile	0.1500003933906555
138	SS040	SS016	Muck	Sterile	0.1818509250879288
139	SS040	SS023	Muck	Sterile	0.2023874521255493
140	SS040	SS031	Muck	Sterile	0.1887324750423431
141	SS040	SS043	Muck	Sterile	0.2483597993850708
142	SS040	SS047	Muck	Sterile	0.1411358863115311
143	SS040	SS054	Muck	Sterile	0.1247547194361687
144	SS040	SS059	Muck	Sterile	0.1603414714336395
145	SS040	SS063	Muck	Sterile	0.1778717339038849
146	SS040	SS066	Muck	Sterile	0.1990272998809814
147	SS040	SS070	Muck	Sterile	0.07839152961969376
148	SS040	SS071	Muck	Sterile	0.1776035577058792
149	SS040	SS075	Muck	Sterile	0.1856009960174561
150	SS040	SS078	Muck	Sterile	0.1542618572711945
151	SS040	SS082	Muck	Sterile	0.08878371119499207
152	SS040	SS083	Muck	Sterile	0.1854390799999237
153	SS040	SS087	Muck	Sterile	0.1714628040790558
154	SS040	SS094	Muck	Sterile	0.2852550745010376
155	SS052	SS004	Muck	Sterile	0.1699909716844559
156	SS052	SS016	Muck	Sterile	0.192911297082901
157	SS052	SS023	Muck	Sterile	0.2120119482278824
158	SS052	SS031	Muck	Sterile	0.2229804545640945
159	SS052	SS043	Muck	Sterile	0.2579067349433899
160	SS052	SS047	Muck	Sterile	0.1599931567907333
161	SS052	SS054	Muck	Sterile	0.110194593667984
162	SS052	SS059	Muck	Sterile	0.1816784739494324
163	SS052	SS063	Muck	Sterile	0.1832173615694046
164	SS052	SS066	Muck	Sterile	0.2194162309169769
165	SS052	SS070	Muck	Sterile	0.08969696611166
166	SS052	SS071	Muck	Sterile	0.1949767768383026
167	SS052	SS075	Muck	Sterile	0.2040825486183167
168	SS052	SS078	Muck	Sterile	0.1465292572975159
169	SS052	SS082	Muck	Sterile	0.08521575480699539
170	SS052	SS083	Muck	Sterile	0.1970165371894836
171	SS052	SS087	Muck	Sterile	0.1828644573688507
172	SS052	SS094	Muck	Sterile	0.2957848310470581
173	SS064	SS004	Muck	Sterile	0.1656573712825775
174	SS064	SS016	Muck	Sterile	0.1936737298965454
175	SS064	SS023	Muck	Sterile	0.2162382006645203
176	SS064	SS031	Muck	Sterile	0.2138618230819702
177	SS064	SS043	Muck	Sterile	0.259539395570755
178	SS064	SS047	Muck	Sterile	0.1561480760574341
179	SS064	SS054	Muck	Sterile	0.09683197736740112
180	SS064	SS059	Muck	Sterile	0.1773579567670822
181	SS064	SS063	Muck	Sterile	0.194060206413269
182	SS064	SS066	Muck	Sterile	0.2135201096534729
183	SS064	SS070	Muck	Sterile	0.09515418112277985
184	SS064	SS071	Muck	Sterile	0.1965524405241013
185	SS064	SS075	Muck	Sterile	0.1992153078317642
186	SS064	SS078	Muck	Sterile	0.1286740750074387
187	SS064	SS082	Muck	Sterile	0.08077841252088547
188	SS064	SS083	Muck	Sterile	0.2041856050491333
189	SS064	SS087	Muck	Sterile	0.1792143434286118
190	SS064	SS094	Muck	Sterile	0.2930195927619934
191	SS076	SS004	Muck	Sterile	0.1467086672782898
192	SS076	SS016	Muck	Sterile	0.1745621860027313
193	SS076	SS023	Muck	Sterile	0.1920184791088104
194	SS076	SS031	Muck	Sterile	0.1728358566761017
195	SS076	SS043	Muck	Sterile	0.2421795129776001
196	SS076	SS047	Muck	Sterile	0.1487529426813126
197	SS076	SS054	Muck	Sterile	0.107243649661541
198	SS076	SS059	Muck	Sterile	0.1623080968856812
199	SS076	SS063	Muck	Sterile	0.1976019293069839
200	SS076	SS066	Muck	Sterile	0.1823017001152039
201	SS076	SS070	Muck	Sterile	0.09824740886688232
202	SS076	SS071	Muck	Sterile	0.195874035358429
203	SS076	SS075	Muck	Sterile	0.1748970746994019
204	SS076	SS078	Muck	Sterile	0.1259478181600571
205	SS076	SS082	Muck	Sterile	0.08516678214073181
206	SS076	SS083	Muck	Sterile	0.1975263804197311
207	SS076	SS087	Muck	Sterile	0.1725364178419113
208	SS076	SS094	Muck	Sterile	0.284441739320755
209	SS090	SS004	Muck	Sterile	0.1764816045761108
210	SS090	SS016	Muck	Sterile	0.1839805245399475
211	SS090	SS023	Muck	Sterile	0.2082192003726959
212	SS090	SS031	Muck	Sterile	0.1972955167293549
213	SS090	SS043	Muck	Sterile	0.2504982650279999
214	SS090	SS047	Muck	Sterile	0.1755182147026062
215	SS090	SS054	Muck	Sterile	0.06872370094060898
216	SS090	SS059	Muck	Sterile	0.1883271038532257
217	SS090	SS063	Muck	Sterile	0.2220787853002548
218	SS090	SS066	Muck	Sterile	0.1930237412452698
219	SS090	SS070	Muck	Sterile	0.1256310641765594
220	SS090	SS071	Muck	Sterile	0.2211093753576279
221	SS090	SS075	Muck	Sterile	0.1863933205604553
222	SS090	SS078	Muck	Sterile	0.1055323034524918
223	SS090	SS082	Muck	Sterile	0.1054503470659256
224	SS090	SS083	Muck	Sterile	0.2226903140544891
225	SS090	SS087	Muck	Sterile	0.1992783546447754
226	SS090	SS094	Muck	Sterile	0.2854492664337158
227	SS095	SS004	Muck	Sterile	0.07747495919466019
228	SS095	SS016	Muck	Sterile	0.1109744012355804
229	SS095	SS023	Muck	Sterile	0.1606110334396362
230	SS095	SS031	Muck	Sterile	0.2105127573013306
231	SS095	SS043	Muck	Sterile	0.1829070746898651
232	SS095	SS047	Muck	Sterile	0.07083244621753693
233	SS095	SS054	Muck	Sterile	0.1819057166576385
234	SS095	SS059	Muck	Sterile	0.08125472068786621
235	SS095	SS063	Muck	Sterile	0.0799589604139328
236	SS095	SS066	Muck	Sterile	0.150882288813591
237	SS095	SS070	Muck	Sterile	0.1336191296577454
238	SS095	SS071	Muck	Sterile	0.0969633013010025
239	SS095	SS075	Muck	Sterile	0.1294505000114441
240	SS095	SS078	Muck	Sterile	0.1897267699241638
241	SS095	SS082	Muck	Sterile	0.1269468516111374
242	SS095	SS083	Muck	Sterile	0.1219308599829674
243	SS095	SS087	Muck	Sterile	0.07857382297515869
244	SS095	SS094	Muck	Sterile	0.2676406502723694
0	SS055	SS051	Newborn	Newborn	0.1740188300609589
1	SS051	SS007	Newborn	Muck	0.2181987017393112
2	SS051	SS011	Newborn	Muck	0.08414846658706665
3	SS051	SS019	Newborn	Muck	0.2181205451488495
4	SS051	SS028	Newborn	Muck	0.1690842360258102
5	SS051	SS040	Newborn	Muck	0.1618333756923676
6	SS051	SS052	Newborn	Muck	0.1703313887119293
7	SS051	SS064	Newborn	Muck	0.1732054352760315
8	SS051	SS076	Newborn	Muck	0.1644904911518097
9	SS051	SS090	Newborn	Muck	0.1930621564388275
10	SS051	SS095	Newborn	Muck	0.08469410240650177
11	SS055	SS007	Newborn	Muck	0.1771348118782043
12	SS055	SS011	Newborn	Muck	0.2084463238716125
13	SS055	SS019	Newborn	Muck	0.1458695232868195
14	SS055	SS028	Newborn	Muck	0.2140019088983536
15	SS055	SS040	Newborn	Muck	0.1755056977272034
16	SS055	SS052	Newborn	Muck	0.2049631327390671
17	SS055	SS064	Newborn	Muck	0.1978592276573181
18	SS055	SS076	Newborn	Muck	0.1615590751171112
19	SS055	SS090	Newborn	Muck	0.1718351244926453
20	SS055	SS095	Newborn	Muck	0.1858442425727844
21	SS051	SS004	Newborn	Sterile	0.06672109663486481
22	SS051	SS016	Newborn	Sterile	0.0616840235888958
23	SS051	SS023	Newborn	Sterile	0.1191389560699463
24	SS051	SS031	Newborn	Sterile	0.1906096041202545
25	SS051	SS043	Newborn	Sterile	0.159307450056076
26	SS051	SS047	Newborn	Sterile	0.0873219221830368
27	SS051	SS054	Newborn	Sterile	0.2076413780450821
28	SS051	SS059	Newborn	Sterile	0.1025262475013733
29	SS051	SS063	Newborn	Sterile	0.05345951020717621
30	SS051	SS066	Newborn	Sterile	0.11687371134758
31	SS051	SS070	Newborn	Sterile	0.1613113582134247
32	SS051	SS071	Newborn	Sterile	0.1039685308933258
33	SS051	SS075	Newborn	Sterile	0.07781461626291275
34	SS051	SS078	Newborn	Sterile	0.2123603522777557
35	SS051	SS082	Newborn	Sterile	0.1672858595848083
36	SS051	SS083	Newborn	Sterile	0.1317405104637146
37	SS051	SS087	Newborn	Sterile	0.05582556128501892
38	SS051	SS094	Newborn	Sterile	0.2867138683795929
39	SS055	SS004	Newborn	Sterile	0.1728781759738922
40	SS055	SS016	Newborn	Sterile	0.1604009568691254
41	SS055	SS023	Newborn	Sterile	0.1754883229732513
42	SS055	SS031	Newborn	Sterile	0.1539704352617264
43	SS055	SS043	Newborn	Sterile	0.1789529919624329
44	SS055	SS047	Newborn	Sterile	0.1666983664035797
45	SS055	SS054	Newborn	Sterile	0.2026625275611877
46	SS055	SS059	Newborn	Sterile	0.1642545461654663
